id,age,sexe,ville,cp,freqDouche,tempsDouche,debitDouche,freqBain,rempBain,freqDents,eauDents,freqVaisselle,choixVaisselle,methVaisselle,couvVaisselle,freqMal,dateMal,ecoEau,plante,momentPlante,eauPlante,freqPlante,voiture,methVoiture,freqVoiture,piscine,freqPiscine,volumePiscine,etiquette,bouteille
598,21,homme,paris,75011,7,30,moyen,0,oui,1,oui,7,lave-vaisselle,non,0,3,ancien,0,non,matin,robinet,0,oui,automatique,2,non,non,0,non,robinet
599,28,femme,Albert,80300,7,15,faible,0,oui,2,non,7,main,oui,24,6,recent,0,non,matin,robinet,0,oui,automatique,2,oui,oui,50,oui,robinet
600,23,femme,peronne,80200,7,15,moyen,2,oui,2,oui,3,main,oui,10,5,recent,10,oui,journée,pluie,30,oui,automatique,1,non,non,0,non,robinet
601,26,homme,paris,75018,7,5,fort,0,oui,3,oui,3,main,oui,12,4,recent,100,non,matin,robinet,0,oui,manuel,2,non,non,0,oui,bouteille
602,24,homme,paris,75011,7,5,moyen,0,oui,1,non,7,lave-vaisselle,non,0,1,recent,1,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
603,19,homme,Albert,80300,7,5,moyen,0,oui,2,oui,3,main,oui,8,2,recent,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,bouteille
604,22,femme,amiens,80000,14,15,moyen,1,non,2,non,8,lave-vaisselle,non,0,4,recent,0,oui,soir,robinet,16,non,automatique,0,non,non,0,non,bouteille
605,34,femme,Albert,80300,7,10,moyen,0,oui,2,non,7,lave-vaisselle,non,0,4,ancien,0,non,matin,robinet,0,oui,manuel,1,non,non,0,non,robinet
606,29,homme,MONTREUIL,93100,7,13,fort,0,oui,2,oui,3,lave-vaisselle,non,0,20,ancien,0,oui,soir,robinet,15,non,manuel,1,non,non,0,non,bouteille
607,40,homme,MONTREUIL,93100,7,3,moyen,0,oui,2,non,7,main,oui,20,4,recent,0,non,matin,robinet,0,oui,automatique,1,non,non,0,non,robinet
608,41,femme,amiens,80000,7,5,fort,1,oui,3,non,14,main,oui,20,8,ancien,100,non,matin,robinet,0,oui,manuel,2,non,non,0,non,bouteille
609,45,homme,Albert,80300,7,15,moyen,0,oui,2,oui,14,main,oui,20,4,recent,10,oui,soir,pluie,8,oui,automatique,1,non,non,0,non,bouteille
610,42,femme,Montreuil,93100,7,15,moyen,0,oui,3,oui,14,main,non,0,4,recent,0,non,matin,robinet,0,non,automatique,0,non,non,0,oui,robinet
611,43,femme,"Villeneuve en Montagne",71390,7,8,moyen,0,oui,0,oui,3,lave-vaisselle,non,0,4,recent,1,oui,soir,pluie,10,oui,manuel,0,non,non,0,non,robinet
612,44,femme,"Montreuil ",93100,7,25,moyen,0,oui,1,oui,2,lave-vaisselle,non,0,4,ancien,0,non,matin,robinet,0,non,automatique,0,non,non,0,non,robinet
613,56,femme,BRIIS-sous-Forges,91640,7,10,moyen,0,oui,1,oui,3,lave-vaisselle,non,0,12,ancien,1,oui,soir,robinet,6,oui,automatique,0,non,non,0,oui,robinet
614,47,homme,amiens,80000,7,5,moyen,0,oui,2,oui,3,main,oui,20,30,recent,1,non,matin,robinet,0,non,automatique,0,non,non,0,non,bouteille
615,44,homme,amiens,80000,7,5,fort,0,oui,1,oui,7,main,oui,16,8,ancien,0,non,matin,robinet,0,oui,manuel,2,non,non,0,non,robinet
616,61,femme,Albert,80300,7,3,moyen,0,oui,2,parfois,7,lave-vaisselle,non,0,8,ancien,0,non,matin,robinet,0,oui,automatique,1,non,non,0,oui,bouteille
